Time from start of file (ns),Time from start of region (ns),Time (),Seconds from midnight Sunday (),Hunter heading (deg),Number of targets (),Target 1 range forward (m),Target 1 range lateral (m),Target 1 range horizontal (m),Target 1 angle to target (deg),Target 1 range velocity forward (m/s),Target 1 range velocity lateral (m/s),Target 1 time to collision forward (),Target 1 time to collision lateral (),Target 1 time gap forward (),Target 2 range forward (m),Target 2 range lateral (m),Target 2 range horizontal (m),Target 2 angle to target (deg),Target 2 range velocity forward (m/s),Target 2 range velocity lateral (m/s),Target 2 time to collision forward (),Target 2 time to collision lateral (),Target 2 time gap forward (),Hunter distance along line 1 (m),Hunter line number to left of A (),Hunter distance lateral from A to line on left of A (m),Hunter velocity lateral of A to line on left of A (m/s),Hunter acceleration lateral of A to line on left of A (m/s²),Hunter line number to right of A (),Hunter distance lateral from A to line on right of A (m),Hunter velocity lateral of A to line on right of A (m/s),Hunter acceleration lateral of A to line on right of A (m/s²),Hunter distance lateral from A to line 1 (m),Hunter distance lateral from A to line 2 (m),Hunter distance lateral from A to line 3 (m),Hunter distance lateral from A to line 4 (m),Hunter distance lateral from A to line 5 (m),Hunter distance lateral from A to line 6 (m),Hunter distance lateral from A to line 7 (m),Hunter distance lateral from A to line 8 (m)
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000000,,1.26057252445E+18,0.000169324,293.97,1,36.886,24.274,44.1565858281638,33.3481812621438,0.06,-0.09,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
